"datetime_utc","datetime_utc_matlab","latitude","longitude","toi_source","cast","niskin","depth","O2_Ar_delta","O2_Ar_ratio","D17","d17","d18"
2018-07-22 09:23:17,737263.373611111,40.1447,-70.7598,"toi_niskin",14,16,18.5,2.652312634,22.4866787930882,100.051,-0.261358,-0.697552
2018-07-22 09:26:23,737263.373611111,40.1454,-70.7595,"toi_niskin",14,18,7,-50.41382367,21.2965542136879,47.9916,0.0933203,0.0875511
2018-07-22 09:26:23,737263.373611111,40.1454,-70.7595,"toi_niskin",14,18,7,-50.48275684,21.2950082360519,47.9735,0.0973313,0.0953303
2018-07-22 13:47:44,737263.568055556,40.0915,-70.7793,"toi_niskin",15,1,36,-12.98873626,22.135893941715,136.893,-0.168407,-0.589266
2018-07-22 13:51:29,737263.568055556,40.0904,-70.7787,"toi_niskin",15,3,3,-44.78283145,21.4228415734656,46.5273,0.0732306,0.0515873
2018-07-22 15:57:57,737263.656944444,40.0941,-70.9914,"toi_niskin",16,1,33,-146.9226114,19.1321328254863,98.4417,0.902835,1.55445
2018-07-22 12:48:59,737263.534027778,40.0962,-70.6642,"toi_underway",NA,NA,5,-63.46634436,21.0038227887485,47.1765,0.216958,0.327904
2018-07-22 14:31:59,737263.605555556,40.0988,-70.8033,"toi_underway",NA,NA,5,-43.65037869,21.4482393121848,54.7711,0.091017,0.0700132
2018-07-22 14:57:59,737263.623611111,40.0986,-70.8883,"toi_underway",NA,NA,5,-41.40778502,21.4985343974155,58.9241,0.0873674,0.0549483
2018-07-22 15:13:00,737263.634027778,40.0975,-70.9373,"toi_underway",NA,NA,5,-42.72883271,21.4689070034514,55.3747,0.0995841,0.0853924
2018-07-22 17:00:00,737263.708333333,40.1054,-71.0956,"toi_underway",NA,NA,5,-49.85482039,21.3090910891763,40.2501,0.128775,0.170964
2018-07-22 18:33:40,737263.761805556,40.0969,-70.8718,"toi_niskin",17,8,42,-164.4383552,18.7393038261516,92.7083,1.09589,1.93895
2018-07-22 18:36:21,737263.761805556,40.0966,-70.8713,"toi_niskin",17,14,21,44.31140303,23.4209753311236,133.416,-0.493732,-1.21016
2018-07-22 18:38:24,737263.761805556,40.0963,-70.8709,"toi_niskin",17,18,3,-31.35120919,21.7240751831874,59.8734,-0.0076989,-0.130438
2018-07-22 22:01:22,737263.906944444,39.9493,-70.8816,"toi_niskin",18,7,55,-209.727954,17.7235851686959,75.9544,1.52688,2.80553
2018-07-22 22:08:32,737263.906944444,39.949,-70.88,"toi_niskin",18,15,3,-66.58248925,20.9339364000859,39.4898,0.198773,0.307628
2018-07-23 08:32:15,737264.338888889,39.7729,-70.7587,"toi_niskin",19,1,39,-12.7574279,22.1410815393776,156.347,-0.25935,-0.802278
2018-07-23 08:35:27,737264.338888889,39.7728,-70.7573,"toi_niskin",19,3,5,-66.34613436,20.9392371772603,30.5332,0.22247,0.370689
2018-07-23 07:10:00,737264.298611111,39.7734,-70.6714,"toi_underway",NA,NA,5,-67.59340751,20.9112643392805,31.4256,0.236092,0.395284
2018-07-23 09:14:59,737264.385416667,39.7728,-70.8233,"toi_underway",NA,NA,5,-67.46963799,20.9140401424234,28.2759,0.238379,0.405785
2018-07-23 09:39:00,737264.402083333,39.776,-70.8928,"toi_underway",NA,NA,5,-60.53387518,21.0695898464717,47.7536,0.209277,0.311959
2018-07-23 09:58:00,737264.415277778,39.7762,-70.9486,"toi_underway",NA,NA,5,-56.82382922,21.1527957701592,42.056,0.183638,0.27344
2018-07-23 10:44:43,737264.43125,39.7701,-70.9806,"toi_niskin",20,1,44,7.745074043,22.6008951455875,157.033,-0.54429,-1.3532
2018-07-23 10:48:54,737264.43125,39.7698,-70.9793,"toi_niskin",20,3,6,-55.09456694,21.1915782722782,33.1188,0.150859,0.227382
2018-07-23 11:45:00,737264.489583333,39.7727,-71.1004,"toi_underway",NA,NA,5,-60.30252808,21.0747783129639,49.1458,0.212989,0.316437
2018-07-23 14:03:59,737264.586111111,39.7638,-70.8577,"toi_underway",NA,NA,5,-57.84275854,21.1299440437501,41.6527,0.185164,0.277164
2018-07-23 14:06:00,737264.5875,39.7635,-70.8569,"toi_underway",NA,NA,5,-58.25878345,21.1206137720266,43.2057,0.183091,0.270163
2018-07-23 13:55:32,737264.540972222,39.765,-70.8604,"toi_niskin",21,9,40,-208.1384286,17.7592337645779,82.9555,1.26505,2.28514
2018-07-23 13:57:45,737264.540972222,39.7647,-70.8597,"toi_niskin",21,10,30,30.81884316,23.1183750617479,168.557,-0.539279,-1.36575
2018-07-23 14:04:05,737264.540972222,39.7638,-70.8577,"toi_niskin",21,19,5,-55.55667143,21.1812145648349,40.9529,0.147371,0.205521
2018-07-23 14:04:05,737264.540972222,39.7638,-70.8577,"toi_niskin",21,19,5,-55.36132686,21.1855955955713,44.4546,0.1522,0.20809
2018-07-23 17:29:59,737264.729166667,39.9412,-70.7678,"toi_underway",NA,NA,5,-69.31871897,20.8725704429715,42.1629,0.249835,0.40109
2018-07-23 19:19:59,737264.805555556,40.141,-70.7642,"toi_underway",NA,NA,5,-65.49337723,20.9583621275837,33.9623,0.198579,0.317927
2018-07-23 20:59:00,737264.874305556,40.3669,-70.767,"toi_underway",NA,NA,5,-49.8794277,21.3085392162399,49.5255,0.141661,0.177941
2018-07-23 22:16:59,737264.928472222,40.5217,-70.8845,"toi_underway",NA,NA,5,-36.51415737,21.6082847382983,61.5826,0.0565585,-0.00966913
2018-07-24 00:17:59,737265.0125,40.8646,-70.8842,"toi_underway",NA,NA,5,-42.48569881,21.474359814804,56.6923,0.0717944,0.0291864
2018-07-24 01:27:59,737265.061111111,40.697,-70.883,"toi_underway",NA,NA,5,-15.31167876,22.083796857617,71.6052,-0.0329481,-0.201829
2018-07-24 03:39:00,737265.152083333,40.3651,-70.8763,"toi_underway",NA,NA,5,-60.19133475,21.077272067443,49.4082,0.210989,0.312071
2018-07-24 04:32:59,737265.189583333,40.2267,-70.8796,"toi_underway",NA,NA,5,-63.49755764,21.0031227624357,33.1764,0.207424,0.336523
2018-07-24 05:20:59,737265.222916667,40.1016,-70.8736,"toi_underway",NA,NA,5,-57.37759797,21.1403762904951,42.8762,0.197573,0.298768
2018-07-24 07:30:00,737265.3125,39.7741,-70.8789,"toi_underway",NA,NA,5,-71.74704687,20.8181098599723,38.0005,0.284648,0.476381
2018-07-24 11:39:00,737265.485416667,39.9487,-70.8789,"toi_underway",NA,NA,5,-50.43931558,21.295982501655,62.3476,0.15784,0.184435
2018-07-24 13:04:59,737265.545138889,40.105,-70.8891,"toi_underway",NA,NA,5,-50.44250078,21.2959110665539,48.5256,0.134755,0.166539
2018-07-24 14:03:59,737265.586111111,40.228,-70.8892,"toi_underway",NA,NA,5,-66.13979725,20.9438647398332,45.9578,0.270296,0.433292
2018-07-24 15:33:00,737265.647916667,40.3676,-70.8875,"toi_niskin",29,9,0,-63.14732231,21.0109775584287,50.1684,0.24453,0.375389
2018-07-24 16:49:59,737265.701388889,40.5148,-70.8794,"toi_underway",NA,NA,5,-54.32106719,21.2089257018962,55.9325,0.212339,0.302074
2018-07-24 18:25:59,737265.768055556,40.6976,-70.8805,"toi_underway",NA,NA,5,-37.48898661,21.5864220529768,66.5418,0.122548,0.108178
2018-07-24 19:52:00,737265.827777778,40.8627,-70.8775,"toi_underway",NA,NA,5,-52.14386613,21.25775421432,48.4979,0.175605,0.245486
2018-07-24 21:08:00,737265.880555556,41.0273,-70.8858,"toi_underway",NA,NA,5,-51.97088037,21.2616337996677,55.2894,0.12618,0.136921
2018-07-24 23:06:00,737265.9625,41.1967,-70.8824,"toi_underway",NA,NA,5,-47.51231166,21.3616269889272,87.1371,-0.430041,-0.998076
2018-07-25 01:23:00,737266.057638889,41.3247,-70.5852,"toi_underway",NA,NA,5,-65.80303282,20.951417421327,74.5675,-0.247599,-0.621837
2018-07-25 01:19:12,737266.052777778,41.3242,-70.5855,"toi_niskin",35,1,14,-67.33193402,20.9171284561917,76.7949,-0.240786,-0.612989
2018-07-25 01:22:41,737266.052777778,41.3247,-70.5852,"toi_niskin",35,7,5,-63.520612,21.0026057178116,71.686,-0.272432,-0.664198
2018-07-25 01:22:41,737266.052777778,41.3247,-70.5852,"toi_niskin",35,7,5,-62.66940981,21.0216957951926,72.5723,-0.280377,-0.681239
